isocode,country,agroecological_zones,administrative_areas,agricultural_practices,measuredItemCPC,crop,scientific_name,botanical_family,other_names,additional_information,planting_period_onset,,planting_period_end,sowing_planting_rate,sowing_planting_rate_range,sowing_planting_rate_unit,length_of_the_cropping_cycle,harvesting_period_onset,harvesting_period_end,comments,harvesting_month_onset,harvesting_month_end,sowing_month_start,sowing_month_end,,,,
GIN,Guinea,Foulta Djallon zone,"Konkouré, Wouré Kaba, Soya, Boulywel, Tolo, Timbo, Saramoussaya, Poredaka, Bouriya, Gongorè, Gnagara, Kegneko (Mamou); Koba, Mity, Ditinn, Boyé, Kanka Labé, Kebaly (Dalaba); Brouwal Tapè, Bantignèl, Massi, Sangaréah, Leymirou, Dongöl Touma, Ningué Landè, ","The agrarian system combines very intensive cropping zones in the tapades and the extensive zones in the periphery. Animal rearing is associated with agriculture. Rainfed cultivation on burnt land is practiced after a short fallow. Intensive cultivation of vegetables and potato in pluvial and under irrigation in dry season. Mixed cropping of cassava, taro, sweetpotato, gourd and vegetables in the tapades. Control of animal digression, weeds, pests and diseases is common.",,Roselle,Hibiscus sabdariffa L.,Malvaceae,Sorrel,,1-Jan,1-Jan,31/12,,15-20,kg/ha,150-180 days,1-Jan,31/12,http://www.fao.org/agriculture/seed/cropcalendar/welcome.do,1,12,,,,,,
GIN,Guinea,High Niger,"Kalinko, Selouma, Lansanya, Gnagnakaly, Datifèrè, M'bonè (Dinguiraye); Dogomè, Alpha Moussaya, Kankama, Dialakoro, Bissikirima, Banko, Konidou, N'dèma, Kindoyé (Dabola); Marela, Snadeniya, Passaya, Heremakono, Niala, Tiro, Sangoya, Bagnan, Kobikoro, Bèndo","Rainfed cropping in plains and on burnt land. Irrigation of the crops at off-season from October; rotation rice/cotton/cassava/fonio or cotton/groundnut/maize in hills; rice/vegetables in plains. Control of animal damage, weeds, pests and diseases.",,Roselle,Hibiscus sabdariffa L.,Malvaceae,Sorrel,,1-Jan,1-Jan,31/12,,15-20,kg/ha,150-180 days,1-Jan,31/12,http://www.fao.org/agriculture/seed/cropcalendar/welcome.do,1,12,,,,,,
GIN,Guinea,Pre Fouta Zone,"Mambia, Molota, Friguiagbé, Damakania, Madina-Oula, Bangouya, Sougueta, Kolenté, Samaya (Kindia); Kollet, Sogolon, Thionthian, Gougoudjè, Daramaganki, Konsotamy, Missira, Koba, Santou, Tarihoye, Sarekaly, Brouwal (Telimelé); Tormelin, Baguinè et Banguingn","Rainfed crops with slash and burn type of agriculture (dominant in the north), in plain and lowland. Irrigation starting from late November for non seasonal crops, especially for vegetable crops (dominant in the south). Crops rotation of rice/groundnut/cassava and fonio; rice/vegetable - maize/groundnut. Association of rice-sorghum and groundnut-maize. Fight against weeds, rodents, birds and treatment against diseases and insects.
",,Roselle,Hibiscus sabdariffa L.,Malvaceae,Sorrel,,1-Jan,1-Jan,31/12,,15-20,kg/ha,150-180 days,1-Jan,31/12,http://www.fao.org/agriculture/seed/cropcalendar/welcome.do,1,12,,,,,,
GIN,Guinea,Preforest zone,"Albadaria, Sangardo, Fèmèssadou, Yombiro, Yèndèmillimou, Kondiadou, Bardou, Bèndou, Bandama, Firawa, Manfara, Gbangbadou (Kissidougou); Karala, Diassodou, Samana, Fouala, Sinko, Koumandou, Gbèssoba, Gbakedou, Diaraguerela, Gnonsamoridou, Boola (Beyla); Si","Rainfed cropping in plains, lowlands and forest lands (burnt land). Mixture of crops of the Sudan and the Guinea forest zones. Irrigation at off-seasons from December (West preforest zone) and November (preforest zone). Rotation rice-groundnut-cassava in small hill and rice-vegetables-maize in low lands. Association maize-cowpea, rice-maize and plantain-food crops. Control of animal digression, pests and diseases.",,Roselle,Hibiscus sabdariffa L.,Malvaceae,Sorrel,,1-Jan,1-Jan,31/12,,15-20,kg/ha,150-180 days,1-Jan,31/12,http://www.fao.org/agriculture/seed/cropcalendar/welcome.do,1,12,,,,,,
GIN,Guinea,Sudan Zone,"Cisséla, Sanguiana, Douako, Banfèlè, Kiniero, Baro, Babila, Koumana, Balato, Dougoura (Kouroussa); Gbérédou baranama, Balandou, Missamana, Sabadou baranama, Tintioulén, Moribaya, Tokounou, Mamourodou, Koumban (Kankan); Norassoba, Niandankoro, Kiniébakoura","Rainfed cropping in the plains, on burnt land and low lands (use of short cycle varieties in the North at Niagassola), Irrigation of crops from end of October to beginning of November. Rotations cotton-maize-groundnut, rice-yam-cotton, rice-cassava in small hills and rice-vegetables in level and low lands, Associations groundnut-millet, groundnut-sorghum, maize-groundnut. Control of iron toxicity, weeds, pests and diseases.",,Roselle,Hibiscus sabdariffa L.,Malvaceae,Sorrel,,1-Jan,1-Jan,31/12,,15-20,kg/ha,150-180 days,1-Jan,31/12,http://www.fao.org/agriculture/seed/cropcalendar/welcome.do,1,12,,,,,,
GIN,Guinea,Pre Fouta Zone,"Mambia, Molota, Friguiagbé, Damakania, Madina-Oula, Bangouya, Sougueta, Kolenté, Samaya (Kindia); Kollet, Sogolon, Thionthian, Gougoudjè, Daramaganki, Konsotamy, Missira, Koba, Santou, Tarihoye, Sarekaly, Brouwal (Telimelé); Tormelin, Baguinè et Banguingn","Rainfed crops with slash and burn type of agriculture (dominant in the north), in plain and lowland. Irrigation starting from late November for non seasonal crops, especially for vegetable crops (dominant in the south). Crops rotation of rice/groundnut/cassava and fonio; rice/vegetable - maize/groundnut. Association of rice-sorghum and groundnut-maize. Fight against weeds, rodents, birds and treatment against diseases and insects.
",01215,Spinach,Spinacia oleracea L.,Chenopodiaceae,,,1-Jan,1-Jan,31/12,,2,kg/ha,35-45 days,1-Jan,31/12,http://www.fao.org/agriculture/seed/cropcalendar/welcome.do,1,12,,,,,,
GIN,Guinea,Foulta Djallon zone,"Konkouré, Wouré Kaba, Soya, Boulywel, Tolo, Timbo, Saramoussaya, Poredaka, Bouriya, Gongorè, Gnagara, Kegneko (Mamou); Koba, Mity, Ditinn, Boyé, Kanka Labé, Kebaly (Dalaba); Brouwal Tapè, Bantignèl, Massi, Sangaréah, Leymirou, Dongöl Touma, Ningué Landè, ","The agrarian system combines very intensive cropping zones in the tapades and the extensive zones in the periphery. Animal rearing is associated with agriculture. Rainfed cultivation on burnt land is practiced after a short fallow. Intensive cultivation of vegetables and potato in pluvial and under irrigation in dry season. Mixed cropping of cassava, taro, sweetpotato, gourd and vegetables in the tapades. Control of animal digression, weeds, pests and diseases is common.",01234,Tomato,Lycopersicon esculentum Mill.,Solanaceae,,,1-Jan,1-Jan,31/12,,0.35,kg/ha,110-150 days,1-Jan,31/12,http://www.fao.org/agriculture/seed/cropcalendar/welcome.do,1,12,,,,,,
GIN,Guinea,Pre Fouta Zone,"Mambia, Molota, Friguiagbé, Damakania, Madina-Oula, Bangouya, Sougueta, Kolenté, Samaya (Kindia); Kollet, Sogolon, Thionthian, Gougoudjè, Daramaganki, Konsotamy, Missira, Koba, Santou, Tarihoye, Sarekaly, Brouwal (Telimelé); Tormelin, Baguinè et Banguingn","Rainfed crops with slash and burn type of agriculture (dominant in the north), in plain and lowland. Irrigation starting from late November for non seasonal crops, especially for vegetable crops (dominant in the south). Crops rotation of rice/groundnut/cassava and fonio; rice/vegetable - maize/groundnut. Association of rice-sorghum and groundnut-maize. Fight against weeds, rodents, birds and treatment against diseases and insects.
",01234,Tomato,Lycopersicon esculentum Mill.,Solanaceae,,,1-Jan,1-Jan,31/12,,0.35,kg/ha,110-150 days,1-Jan,31/12,http://www.fao.org/agriculture/seed/cropcalendar/welcome.do,1,12,,,,,,
IND,India,,,,0113,Rice,,,,,1-Jan,1-Jan,2,,,,60,3,6,http://www.amis-outlook.org/amis-about/calendars/en/,3,6,,,,,,
KEN,Kenya,Lowerland zone 2 (L2) / Inner lowland (IL2),Kwale.,"Sugarcane, cassava, rice, maize and coconut farming.",01372,Cashewnut,Anacardium occidentale L.,Anacardiaceae,,,1-Jan,1-Jan,31/12,,6.5,kg/ha,2.5-3  years,1-Jan,31/12,http://www.fao.org/agriculture/seed/cropcalendar/welcome.do,1,12,,,,,,
KEN,Kenya,Lowerland zone 3 (L3),"Coast province (Kwale, Kilifi, Tana River, Lamu)","Cassava, coconut, cotton farming.",01372,Cashewnut,Anacardium occidentale L.,Anacardiaceae,,,1-Jan,1-Jan,31/12,,6.5,kg/ha,2.5-3  years,1-Jan,31/12,http://www.fao.org/agriculture/seed/cropcalendar/welcome.do,1,12,,,,,,
KEN,Kenya,Lowerland zone 4 (L4),"Coast province (Kwale, Kilifi, Tana River, Lamu)",Cassava and cashew nut farming. Marginal climatic condition for cotton and coconut. Large scale sisal farming.,01372,Cashewnut,Anacardium occidentale L.,Anacardiaceae,,,1-Jan,1-Jan,31/12,,6.5,kg/ha,2.5-3  years,1-Jan,31/12,http://www.fao.org/agriculture/seed/cropcalendar/welcome.do,1,12,,,,,,
KEN,Kenya,Lower midland zone 1 (LM1),"South Nyanza (Siaya), Western province (Kakamega, Busia, Bungoma).","Sugarcane farming good, maize farming fair.",01520,Cassava,Manihot esculenta Crantz,Euphorbiaceae,Manioc,,1-Jan,1-Jan,31/12,,"10,000",cuttings/ha,365-540 days,1-Jan,31/12,http://www.fao.org/agriculture/seed/cropcalendar/welcome.do,1,12,,,,,,
KEN,Kenya,Lower midland zone 2 (LM2),"Nyanza province (Siaya, Kisumu), Western province (Kakamega, Busia, Bungoma), Nandi, Narok.","Sugarcane farming marginal, maize farming.",01520,Cassava,Manihot esculenta Crantz,Euphorbiaceae,Manioc,,1-Jan,1-Jan,31/12,,"10,000",cuttings/ha,365-420 days,1-Jan,31/12,http://www.fao.org/agriculture/seed/cropcalendar/welcome.do,1,12,,,,,,
KEN,Kenya,Lower midland zone 3 (LM3),"Nyanza province (Siaya, Kisumu), Western province (Busia, Bungoma), Eastern province (Embu, Meru, Machakos), Central province (Muranga, Kirinyaga)",Maize and Cotton farming. Irrigated rice farming,01520,Cassava,Manihot esculenta Crantz,Euphorbiaceae,Manioc,,1-Jan,1-Jan,31/12,,"10,000",cuttings/ha,365-420 days,1-Jan,31/12,http://www.fao.org/agriculture/seed/cropcalendar/welcome.do,1,12,,,,,,
KEN,Kenya,Lower midland zone 4 (LM4),"Nyanza province (Siaya, Kisumu), Western province (Busia), Eastern province (Embu, Meru, Machakos, KItui), Central province (Kiambu, Muranga, Kirinyaga), Rift valley province (W/pokot, Keiyo/Marakwet, Baringo, Kajiado), Taita Taveta","Maize, pigeon pea and sisal farming. Marginal cotton farming.",01520,Cassava,Manihot esculenta Crantz,Euphorbiaceae,Manioc,,1-Jan,1-Jan,31/12,,"10,000",cuttings/ha,365-420 days,1-Jan,31/12,http://www.fao.org/agriculture/seed/cropcalendar/welcome.do,1,12,,,,,,
KEN,Kenya,Lower midland zone 5 (LM5),"Eastern province (Embu, Meru, Machakos, KItui), Rift valley province (W/pokot, Keiyo/Marakwet, Baringo, Samburu, Kajiado), Taita Taveta","Millet, Cowpeas and grams growing fair. Fair sisal farming climatic condition. Livestock grazing at low density. ",01520,Cassava,Manihot esculenta Crantz,Euphorbiaceae,Manioc,,1-Jan,1-Jan,31/12,,"10,000",cuttings/ha,365-420 days,1-Jan,31/12,http://www.fao.org/agriculture/seed/cropcalendar/welcome.do,1,12,,,,,,
KEN,Kenya,Lowerland zone 2 (L2) / Inner lowland (IL2),Kwale.,"Sugarcane, cassava, rice, maize and coconut farming.",01520,Cassava,Manihot esculenta Crantz,Euphorbiaceae,Manioc,,1-Jan,1-Jan,31/12,,"10,000",cuttings/ha,365-420 days,1-Jan,31/12,http://www.fao.org/agriculture/seed/cropcalendar/welcome.do,1,12,,,,,,
KEN,Kenya,Lowerland zone 3 (L3),"Coast province (Kwale, Kilifi, Tana River, Lamu)","Cassava, coconut, cotton farming.",01520,Cassava,Manihot esculenta Crantz,Euphorbiaceae,Manioc,,1-Jan,1-Jan,31/12,,"10,000",cuttings/ha,365-420 days,1-Jan,31/12,http://www.fao.org/agriculture/seed/cropcalendar/welcome.do,1,12,,,,,,
KEN,Kenya,Lowerland zone 4 (L4),"Coast province (Kwale, Kilifi, Tana River, Lamu)",Cassava and cashew nut farming. Marginal climatic condition for cotton and coconut. Large scale sisal farming.,01520,Cassava,Manihot esculenta Crantz,Euphorbiaceae,Manioc,,1-Jan,1-Jan,31/12,,"10,000",cuttings/ha,365-420 days,1-Jan,31/12,http://www.fao.org/agriculture/seed/cropcalendar/welcome.do,1,12,,,,,,
KEN,Kenya,Lowerland zone 5 (L5),"Coast province, Kitui (IL5), Lower Kitui (IL5), Lower Meru (IL5)",Cassava and cashew nut farming. Marginal climatic condition for cotton and coconut. Large scale sisal farming.,01520,Cassava,Manihot esculenta Crantz,Euphorbiaceae,Manioc,,1-Jan,1-Jan,31/12,,"10,000",cuttings/ha,365-420 days,1-Jan,31/12,http://www.fao.org/agriculture/seed/cropcalendar/welcome.do,1,12,,,,,,
KEN,Kenya,Upper midland zone 2 (UM2),"Western province (Bungoma/Mt. Elgon), Eastern province (Embu, Meru, Machakos), Central province (Kiambu,Nyeri, Muranga, Kirinyaga), Rift valley province (Kericho, T/Nzoia)",Coffee and maize farming.,01520,Cassava,Manihot esculenta Crantz,Euphorbiaceae,Manioc,,1-Jan,1-Jan,31/12,,"10,000",cuttings/ha,365-540 days,1-Jan,31/12,http://www.fao.org/agriculture/seed/cropcalendar/welcome.do,1,12,,,,,,
KEN,Kenya,Upper midland zone 3 (UM3),"Western province (Bungoma/Mt. Elgon), Eastern province (Embu, Meru, Machakos), Central province (Kiambu,Nyeri, Muranga, Kirinyaga), Rift valley province (Kericho, T/Nzoia,W/pokot,Baringo,Nakuru, Kajiado), Taita Taveta","Maize farming, rainfed and irrigated coffee farming.",01520,Cassava,Manihot esculenta Crantz,Euphorbiaceae,Manioc,,1-Jan,1-Jan,31/12,,"10,000",cuttings/ha,365-540 days,1-Jan,31/12,http://www.fao.org/agriculture/seed/cropcalendar/welcome.do,1,12,,,,,,
KEN,Kenya,Upper midland zone 4 (UM4),"Western province (Kakamega, Bungoma), Eastern province (Embu, Meru, Machakos, Kitui), Central province (Kiambu, Nyeri, Muranga, Kirinyaga), Rift valley province (Nandi, Kericho, T/Nzoia, Uasin Gishu, W/pokot, Keiyo/Marakwet, Baringo, Nakuru, Narok, Kajiad","Maize and sunflower farming good under unimodal rainfall, but fair under bimodal. Sisal farming in upper zone under large scale.",01520,Cassava,Manihot esculenta Crantz,Euphorbiaceae,Manioc,,1-Jan,1-Jan,31/12,,"10,000",cuttings/ha,365-540 days,1-Jan,31/12,http://www.fao.org/agriculture/seed/cropcalendar/welcome.do,1,12,,,,,,
KEN,Kenya,Lower midland zone 3 (LM3),"Nyanza province (Siaya, Kisumu), Western province (Busia, Bungoma), Eastern province (Embu, Meru, Machakos), Central province (Muranga, Kirinyaga)",Maize and Cotton farming. Irrigated rice farming,0113,Rice,Oryza sativa L.,Poaceae,,,1-Jan,1-Jan,31/12,,80-100,kg/ha,120-160 days,1-Jan,31/12,http://www.fao.org/agriculture/seed/cropcalendar/welcome.do,1,12,,,,,,
KEN,Kenya,Lower midland zone 4 (LM4),"Nyanza province (Siaya, Kisumu), Western province (Busia), Eastern province (Embu, Meru, Machakos, KItui), Central province (Kiambu, Muranga, Kirinyaga), Rift valley province (W/pokot, Keiyo/Marakwet, Baringo, Kajiado), Taita Taveta","Maize, pigeon pea and sisal farming. Marginal cotton farming.",0113,Rice,Oryza sativa L.,Poaceae,,,1-Jan,1-Jan,31/12,,80-100,kg/ha,120-160 days,1-Jan,31/12,http://www.fao.org/agriculture/seed/cropcalendar/welcome.do,1,12,,,,,,
KEN,Kenya,Lowerland zone 3 (L3),"Coast province (Kwale, Kilifi, Tana River, Lamu)","Cassava, coconut, cotton farming.",0113,Rice,Oryza sativa L.,Poaceae,,,1-Jan,1-Jan,31/12,,80-100,kg/ha,120-160 days,1-Jan,31/12,http://www.fao.org/agriculture/seed/cropcalendar/welcome.do,1,12,,,,,,
KEN,Kenya,Lowerland zone 4 (L4),"Coast province (Kwale, Kilifi, Tana River, Lamu)",Cassava and cashew nut farming. Marginal climatic condition for cotton and coconut. Large scale sisal farming.,0113,Rice,Oryza sativa L.,Poaceae,,,1-Jan,1-Jan,31/12,,80-100,kg/ha,90-160 days,1-Jan,31/12,http://www.fao.org/agriculture/seed/cropcalendar/welcome.do,1,12,,,,,,
KEN,Kenya,Lower midland zone 1 (LM1),"South Nyanza (Siaya), Western province (Kakamega, Busia, Bungoma).","Sugarcane farming good, maize farming fair.",01802,Sugarcane,Saccharum officinarum L.,Poaceae,,,1-Jan,1-Jan,31/12,,"4,500-7,000",cuttings/ha,18-22 months,1-Jan,31/12,http://www.fao.org/agriculture/seed/cropcalendar/welcome.do,1,12,,,,,,
KEN,Kenya,Lower midland zone 2 (LM2),"Nyanza province (Siaya, Kisumu), Western province (Kakamega, Busia, Bungoma), Nandi, Narok.","Sugarcane farming marginal, maize farming.",01802,Sugarcane,Saccharum officinarum L.,Poaceae,,,1-Jan,1-Jan,31/12,,"4,500-7,000",cuttings/ha,18-22 months,1-Jan,31/12,http://www.fao.org/agriculture/seed/cropcalendar/welcome.do,1,12,,,,,,
KEN,Kenya,Lower midland zone 3 (LM3),"Nyanza province (Siaya, Kisumu), Western province (Busia, Bungoma), Eastern province (Embu, Meru, Machakos), Central province (Muranga, Kirinyaga)",Maize and Cotton farming. Irrigated rice farming,01802,Sugarcane,Saccharum officinarum L.,Poaceae,,,1-Jan,1-Jan,31/12,,"4,500-7,000",cuttings/ha,18-22 months,1-Jan,31/12,http://www.fao.org/agriculture/seed/cropcalendar/welcome.do,1,12,,,,,,
KEN,Kenya,Lowerland zone 2 (L2) / Inner lowland (IL2),Kwale.,"Sugarcane, cassava, rice, maize and coconut farming.",01802,Sugarcane,Saccharum officinarum L.,Poaceae,,,1-Jan,1-Jan,31/12,,"4,500-7,000",cuttings/ha,18-22 months,1-Jan,31/12,http://www.fao.org/agriculture/seed/cropcalendar/welcome.do,1,12,,,,,,
KEN,Kenya,Lowerland zone 3 (L3),"Coast province (Kwale, Kilifi, Tana River, Lamu)","Cassava, coconut, cotton farming.",01802,Sugarcane,Saccharum officinarum L.,Poaceae,,,1-Jan,1-Jan,31/12,,"4,500-7,000",cuttings/ha,18-22 months,1-Jan,31/12,http://www.fao.org/agriculture/seed/cropcalendar/welcome.do,1,12,,,,,,
KEN,Kenya,Upper midland zone 2 (UM2),"Western province (Bungoma/Mt. Elgon), Eastern province (Embu, Meru, Machakos), Central province (Kiambu,Nyeri, Muranga, Kirinyaga), Rift valley province (Kericho, T/Nzoia)",Coffee and maize farming.,01802,Sugarcane,Saccharum officinarum L.,Poaceae,,,1-Jan,1-Jan,31/12,,"4,500-7,000",cuttings/ha,18-22 months,1-Jan,31/12,http://www.fao.org/agriculture/seed/cropcalendar/welcome.do,1,12,,,,,,
LSO,Lesotho,Lowlands,"It is a small strip of land of the seven districts, Botha-Bothe, Leribe, Berea, Maseru, Mafeteng, Mohale’s Hoek and Quthing comprising 12% of the land area on the western part of country boarding the eastern Free State Province of the Republic of South Af","Crops (summer and winter), fodder crops. Mixed farming, intensive and commercial more than in other zones. Summer crops: maize, sorghum, potatoes, sunflower. Winter: wheat, peas. Pumped sprinkler irrigation.",01251,Turnip,Brassica rapa L. subsp. rapa,Brassicaceae,,,1-Jan,1-Jan,31/12,,1.2-1.5,kg/ha,95-170  days,1-Jan,31/12,http://www.fao.org/agriculture/seed/cropcalendar/welcome.do,1,12,,,,,,
LSO,Lesotho,Senqu (Orange River Valley),"It is an extension of the lowlands in the south eastern part of the country, Quthing to Qacha’s Nek along the Senqu River and its tributary valleys covering 8% of the land area and even parts of Thaba-Tseka have similar conditions.","Crops (summer and winter), fodder crops. Mixed farming, intensive and commercial more than in other zones. Summer crops: maize, sorghum, potatoes, sunflower. Winter: wheat, peas. Pumped sprinkler irrigation. Sorghum thrives well in this zone due to its better drought tolerance than maize.",01251,Turnip,Brassica rapa L. subsp. rapa,Brassicaceae,,,1-Jan,1-Jan,31/12,,1.2-1.5,kg/ha,95-170  days,1-Jan,31/12,http://www.fao.org/agriculture/seed/cropcalendar/welcome.do,1,12,,,,,,
LBR,Liberia,Coastal Plains (AEZ I),"Montserrado,Cape Mount, Bomi, Margibi, Bassa, and Rivercess Counties.","Rice, root and tuber crops and vegetable production;  subsistence farming (slash and burn) practices back by shifting cultivation.  ",0113,Rice,Oryza sativa L.,Poaceae,,Lowland rice,1-Jan,1-Jan,31/12,,33-38,kg/ha,90-150 days,1-Jan,31/12,http://www.fao.org/agriculture/seed/cropcalendar/welcome.do,1,12,,,,,,
LBR,Liberia,Northern Savannah (AEZ IV),Lofa and Nimba Counties,"Rice, root and tuber crops and vegetable production. Subsistence farming (slash and burn) practices of shifting cultivation; rainfed lowland rice cultivation practices.",0113,Rice,Oryza sativa L.,Poaceae,,Lowland rice,1-Jan,1-Jan,31/12,,33-38,kg/ha,90-150 days,1-Jan,31/12,http://www.fao.org/agriculture/seed/cropcalendar/welcome.do,1,12,,,,,,
MDG,Madagascar,Middle West Zone,"Betsiboka Region: (districts of Tsaratanana, Maevatanana, Kandreho); Analamanga Region: (district of Ankazobe); Bongolava Region: (districts of Tsiroanomandidy, Fenoarivo Be); Itasy Region: (districts of Miarinarivo, Soavinandriana); Vakinankaratra Region","Rice, groundnut, maize, cassava, soybean, onion, tomato, fruit trees. Zones highly exposed to erosion due to frequent bush fires. Swamps and lowlands need necessary hydraulic structures (especially drainage). ",01520,Cassava,Manihot esculenta Crantz,Euphorbiaceae,Manioc,Second season,1-Jan,1-Jan,15/02,,"10,000-13,000",cuttings/ha,240-300 days,31/07,30/09,http://www.fao.org/agriculture/seed/cropcalendar/welcome.do,7,9,,,,,,
MDG,Madagascar,South Highlands Zone,"Analamanga Region: (districts of Anjozorobe, Antananarivo Atsimondrano, Antananarivo Avaradrano, Antananarivo Renivohitra, Ambohidratrimo, Manjakandriana, Andramasina); Itasy Region: (district of Arivonimamo); Vakinankaratra Region: (districts of Ambatola","Arabica coffee, tea, wheat, rice, potato, maize, cassava, fruit trees, vegetable crops, Drainage problems in valleys.",01510,Potatoes,Solanum tuberosum L.,Solanaceae,,Second season,1-Jan,1-Jan,28/02,,"2,000-2,500",kg/ha,90-120 days,15/04,15/05,http://www.fao.org/agriculture/seed/cropcalendar/welcome.do,4,5,,,,,,
MDG,Madagascar,Northeast Zone,"Analanjirofo Region: (districts of  Mananara, Soanierana Ivongo, Sainte-Marie, Fenoarivo Atsinanana, Vavatenina); Atsinanana Region: (districts of Toamasina I and II, Brickaville, Vatomandry, Mahanoro, Marolambo, Antanambao Manampotsy).","Coffee, clover, banana, sugar cane, vanilla, peppers, rice, cassava, fruit trees. Deforestation exposes the land to soil erosion.",0113,Rice,Oryza sativa L.,Poaceae,,Without water management,1-Jan,1-Jan,28/02,,35-60,kg/ha,150 days,5-Jan,31/05,http://www.fao.org/agriculture/seed/cropcalendar/welcome.do,5,5,,,,,,
MDG,Madagascar,Centre West Zone,"Menabe Region: (districts of Miandrivazo, Belo-Tsiribihina, Mahabo, Morondava, Manja).","Rice, cotton (in baiboho), groundnut, maize, cassava, cape pea, bean, sugar cane, legumes. Cultivation of subsidence crops. Need hydraulic structures. Protection of banks by reforestation.",0141,Soybean,Glycine max (L.) Merr.,Fabaceae,,,1-Jan,1-Jan,15/01,,50-70,kg/ha,,,,http://www.fao.org/agriculture/seed/cropcalendar/welcome.do,,,,,,,,
MDG,Madagascar,South/Southwest Zone,"Atsimo Andrefana Region: (districts of Morombe, Toliara I and II, Sakaraha, Ankazoabo Atsimo, Beroroha, Betioky, Benenitra, Ampanihy); Androy Region: (districts of Bekily, Beloha, Tsihombe, Ambovombe); Anosy Region (district of Amboasary)","Maize, sorghum, cassava, sweet potato, sisal, castor oil. Irrigation problem for some crops (in swamps, shallow lands).",0141,Soybean,Glycine max (L.) Merr.,Fabaceae,,,1-Jan,1-Jan,15/01,,50-70,kg/ha,,,,http://www.fao.org/agriculture/seed/cropcalendar/welcome.do,,,,,,,,
MDG,Madagascar,Centre West Zone,"Menabe Region: (districts of Miandrivazo, Belo-Tsiribihina, Mahabo, Morondava, Manja).","Rice, cotton (in baiboho), groundnut, maize, cassava, cape pea, bean, sugar cane, legumes. Cultivation of subsidence crops. Need hydraulic structures. Protection of banks by reforestation.",01235,"Squash, winter",Cucurbita maxima Duchesne,Cucurbitaceae,,,1-Jan,1-Jan,31/01,,"7,500-12,500",seeds/ha,120 days,4-Jan,30/04,http://www.fao.org/agriculture/seed/cropcalendar/welcome.do,4,4,,,,,,
MWI,Malawi,High altitude areas,"Examples of such areas are Viphya and Nyika Plateaus, Kirk Range, Dedza, Tsangano, Neno, Ntchisi and Dowa Hills.","Rainfed. Wheat, beans, soybean, pigeon peas, chickpea, potatoes, tea, coffee, bananas, vegetables.",01212,"Cabbage, common",Brassica oleracea L. var. capitata,Brassicaceae,,,1-Jan,1-Jan,31/12,,350-450,gr/ha,,1-Jan,31/12,http://www.fao.org/agriculture/seed/cropcalendar/welcome.do,1,12,,,,,,
MWI,Malawi,High altitude areas,"Examples of such areas are Viphya and Nyika Plateaus, Kirk Range, Dedza, Tsangano, Neno, Ntchisi and Dowa Hills.","Rainfed. Wheat, beans, soybean, pigeon peas, chickpea, potatoes, tea, coffee, bananas, vegetables.",01251,Carrot,Daucus carota L.,Apiaceae,,,1-Jan,1-Jan,31/12,,1,kg/ha,90 days,1-Jan,31/12,http://www.fao.org/agriculture/seed/cropcalendar/welcome.do,1,12,,,,,,
MWI,Malawi,Low altitude areas,"Typical examples are the Shire Valley, Phalombe Plain, Lakeshore Plain and Upper Shire Valley from Kapichira Falls to Mangochi and Nkhamanga plain.","Irrigation. Rice, maize, beans, groundnut, soybean, pigeon pea, cowpea, sesame, cassava, sweetpotato, cotton, banana.",01251,Carrot,Daucus carota L.,Apiaceae,,,1-Jan,1-Jan,31/12,,1,kg/ha,90 days,1-Jan,31/12,http://www.fao.org/agriculture/seed/cropcalendar/welcome.do,1,12,,,,,,
MWI,Malawi,Medium altitude areas,"Typical examples of such areas include Lilongwe to Kasungu plain, Upper South Rukuru Valley, Shire Highlands and the Chitipa plain.","Major agriculture practice is maize, others include tobacco, groundnut, soybean, cassava, sweetpotato, sunflower, sesame, finger millet, vegetables.",01251,Carrot,Daucus carota L.,Apiaceae,,,1-Jan,1-Jan,31/12,,1,kg/ha,90 days,1-Jan,31/12,http://www.fao.org/agriculture/seed/cropcalendar/welcome.do,1,12,,,,,,
MWI,Malawi,High altitude areas,"Examples of such areas are Viphya and Nyika Plateaus, Kirk Range, Dedza, Tsangano, Neno, Ntchisi and Dowa Hills.","Rainfed. Wheat, beans, soybean, pigeon peas, chickpea, potatoes, tea, coffee, bananas, vegetables.",01214,Lettuce,Lactuca sativa L.,Asteraceae,,,1-Jan,1-Jan,31/12,,0.5,kg/ha,,1-Jan,31/12,http://www.fao.org/agriculture/seed/cropcalendar/welcome.do,1,12,,,,,,
MWI,Malawi,Low altitude areas,"Typical examples are the Shire Valley, Phalombe Plain, Lakeshore Plain and Upper Shire Valley from Kapichira Falls to Mangochi and Nkhamanga plain.","Irrigation. Rice, maize, beans, groundnut, soybean, pigeon pea, cowpea, sesame, cassava, sweetpotato, cotton, banana.",01214,Lettuce,Lactuca sativa L.,Asteraceae,,,1-Jan,1-Jan,31/12,,0.5,kg/ha,,1-Jan,31/12,http://www.fao.org/agriculture/seed/cropcalendar/welcome.do,1,12,,,,,,
