Code,License Type,Indicator Name,Short definition,Long definition,Source,Topic,Unit of measure,Periodicity,Base Period,Reference period,Aggregation method,Statistical concept and methodology,Development relevance,Limitations and exceptions,General comments,Related source links
SI.DST.02ND.20,Open,Income share held by second 20%,,Percentage share of income or consumption is the share that accrues to subgroups of population indicated by deciles or quintiles. Percentage shares by quintile may not sum to 100 because of rounding.,"World Bank, Development Research Group. Data are based on primary household survey data obtained from government statistical agencies and World Bank country departments. Data for high-income economies are from the Luxembourg Income Study database. For more information and methodology, please see PovcalNet (http://iresearch.worldbank.org/PovcalNet/index.htm).",Poverty: Income distribution,%,Annual,,,,"Inequality in the distribution of income is reflected in the share of income or consumption accruing to a portion of the population ranked by income or consumption levels. The portions ranked lowest by personal income receive the smallest shares of total income.

Data on the distribution of income or consumption come from nationally representative household surveys. Where the original data from the household survey were available, they have been used to directly calculate the income or consumption shares by quintile. Otherwise, shares have been estimated from the best available grouped data.

The distribution data have been adjusted for household size, providing a more consistent measure of per capita income or consumption. No adjustment has been made for spatial differences in cost of living within countries, because the data needed for such calculations are generally unavailable. For further details on the estimation method for low- and middle-income economies, see Ravallion and Chen (1996).

Survey year is the year in which the underlying household survey data were collected or, when the data collection period bridged two calendar years, the year in which most of the data were collected.

Percentage shares by quintile may not sum to 100 because of rounding.",The World Bank Group's goal of promoting shared prosperity has been defined as fostering income growth of the bottom 40 per cent of the welfare distribution in every country. Income distribution data and the Gini coefficient measure inequality in income or consumption and important indicators for measuring shared prosperity.,"Despite progress in the last decade, the challenges of measuring poverty remain. The timeliness, frequency, quality, and comparability of household surveys need to increase substantially, particularly in the poorest countries. The availability and quality of poverty monitoring data remains low in small states, countries with fragile situations, and low-income countries and even some middle-income countries. The low frequency and lack of comparability of the data available in some countries create uncertainty over the magnitude of poverty reduction. 

Besides the frequency and timeliness of survey data, other data quality issues arise in measuring household living standards. The surveys ask detailed questions on sources of income and how it was spent, which must be carefully recorded by trained personnel. Income is generally more difficult to measure accurately, and consumption comes closer to the notion of living standards. And income can vary over time even if living standards do not. But consumption data are not always available: the latest estimates reported here use consumption data for about two-thirds of countries.

However, even similar surveys may not be strictly comparable because of differences in timing or in the quality and training of enumerators. Comparisons of countries at different levels of development also pose a potential problem because of differences in the relative importance of the consumption of nonmarket goods. The local market value of all consumption in kind (including own production, particularly important in underdeveloped rural economies) should be included in total consumption expenditure but may not be. Most survey data now include valuations for consumption or income from own production, but valuation methods vary.","The World Bank’s internationally comparable poverty monitoring database now draws on income or detailed consumption data from more than one thousand household surveys across 138 countries in six regions and 21 other high income countries (industrialized economies). While income distribution data are published for all countries with data available, poverty data are published for low- and middle-income countries and countries eligible to receive loans from the World Bank (such as Chile) and recently graduated countries (such as Estonia) only. See PovcalNet (http://iresearch.worldbank.org/PovcalNet/WhatIsNew.aspx) for definitions of geographical regions and industrialized countries.",
SI.DST.03RD.20,Open,Income share held by third 20%,,Percentage share of income or consumption is the share that accrues to subgroups of population indicated by deciles or quintiles. Percentage shares by quintile may not sum to 100 because of rounding.,"World Bank, Development Research Group. Data are based on primary household survey data obtained from government statistical agencies and World Bank country departments. Data for high-income economies are from the Luxembourg Income Study database. For more information and methodology, please see PovcalNet (http://iresearch.worldbank.org/PovcalNet/index.htm).",Poverty: Income distribution,%,Annual,,,,"Inequality in the distribution of income is reflected in the share of income or consumption accruing to a portion of the population ranked by income or consumption levels. The portions ranked lowest by personal income receive the smallest shares of total income.

Data on the distribution of income or consumption come from nationally representative household surveys. Where the original data from the household survey were available, they have been used to directly calculate the income or consumption shares by quintile. Otherwise, shares have been estimated from the best available grouped data.

The distribution data have been adjusted for household size, providing a more consistent measure of per capita income or consumption. No adjustment has been made for spatial differences in cost of living within countries, because the data needed for such calculations are generally unavailable. For further details on the estimation method for low- and middle-income economies, see Ravallion and Chen (1996).

Survey year is the year in which the underlying household survey data were collected or, when the data collection period bridged two calendar years, the year in which most of the data were collected.

Percentage shares by quintile may not sum to 100 because of rounding.",The World Bank Group's goal of promoting shared prosperity has been defined as fostering income growth of the bottom 40 per cent of the welfare distribution in every country. Income distribution data and the Gini coefficient measure inequality in income or consumption and important indicators for measuring shared prosperity.,"Despite progress in the last decade, the challenges of measuring poverty remain. The timeliness, frequency, quality, and comparability of household surveys need to increase substantially, particularly in the poorest countries. The availability and quality of poverty monitoring data remains low in small states, countries with fragile situations, and low-income countries and even some middle-income countries. The low frequency and lack of comparability of the data available in some countries create uncertainty over the magnitude of poverty reduction. 

Besides the frequency and timeliness of survey data, other data quality issues arise in measuring household living standards. The surveys ask detailed questions on sources of income and how it was spent, which must be carefully recorded by trained personnel. Income is generally more difficult to measure accurately, and consumption comes closer to the notion of living standards. And income can vary over time even if living standards do not. But consumption data are not always available: the latest estimates reported here use consumption data for about two-thirds of countries.

However, even similar surveys may not be strictly comparable because of differences in timing or in the quality and training of enumerators. Comparisons of countries at different levels of development also pose a potential problem because of differences in the relative importance of the consumption of nonmarket goods. The local market value of all consumption in kind (including own production, particularly important in underdeveloped rural economies) should be included in total consumption expenditure but may not be. Most survey data now include valuations for consumption or income from own production, but valuation methods vary.","The World Bank’s internationally comparable poverty monitoring database now draws on income or detailed consumption data from more than one thousand household surveys across 138 countries in six regions and 21 other high income countries (industrialized economies). While income distribution data are published for all countries with data available, poverty data are published for low- and middle-income countries and countries eligible to receive loans from the World Bank (such as Chile) and recently graduated countries (such as Estonia) only. See PovcalNet (http://iresearch.worldbank.org/PovcalNet/WhatIsNew.aspx) for definitions of geographical regions and industrialized countries.",
DT.INT.DECT.EX.ZS,Open,"Interest payments on external debt (% of exports of goods, services and primary income)",,Total interest payments to exports of goods and services.,"World Bank, International Debt Statistics.",Economic Policy & Debt: External debt: Debt ratios & other items,,Annual,,,Weighted average,,,,,
SI.DST.05TH.20,Open,Income share held by highest 20%,,Percentage share of income or consumption is the share that accrues to subgroups of population indicated by deciles or quintiles. Percentage shares by quintile may not sum to 100 because of rounding.,"World Bank, Development Research Group. Data are based on primary household survey data obtained from government statistical agencies and World Bank country departments. Data for high-income economies are from the Luxembourg Income Study database. For more information and methodology, please see PovcalNet (http://iresearch.worldbank.org/PovcalNet/index.htm).",Poverty: Income distribution,%,Annual,,,,"Inequality in the distribution of income is reflected in the share of income or consumption accruing to a portion of the population ranked by income or consumption levels. The portions ranked lowest by personal income receive the smallest shares of total income.

Data on the distribution of income or consumption come from nationally representative household surveys. Where the original data from the household survey were available, they have been used to directly calculate the income or consumption shares by quintile. Otherwise, shares have been estimated from the best available grouped data.

The distribution data have been adjusted for household size, providing a more consistent measure of per capita income or consumption. No adjustment has been made for spatial differences in cost of living within countries, because the data needed for such calculations are generally unavailable. For further details on the estimation method for low- and middle-income economies, see Ravallion and Chen (1996).

Survey year is the year in which the underlying household survey data were collected or, when the data collection period bridged two calendar years, the year in which most of the data were collected.

Percentage shares by quintile may not sum to 100 because of rounding.",The World Bank Group’s goal of promoting shared prosperity has been defined as fostering income growth of the bottom 40 per cent of the welfare distribution in every country. Income distribution data and the Gini coefficient measure inequality in income or consumption and important indicators for measuring shared prosperity.,"Despite progress in the last decade, the challenges of measuring poverty remain. The timeliness, frequency, quality, and comparability of household surveys need to increase substantially, particularly in the poorest countries. The availability and quality of poverty monitoring data remains low in small states, countries with fragile situations, and low-income countries and even some middle-income countries. The low frequency and lack of comparability of the data available in some countries create uncertainty over the magnitude of poverty reduction. 

Besides the frequency and timeliness of survey data, other data quality issues arise in measuring household living standards. The surveys ask detailed questions on sources of income and how it was spent, which must be carefully recorded by trained personnel. Income is generally more difficult to measure accurately, and consumption comes closer to the notion of living standards. And income can vary over time even if living standards do not. But consumption data are not always available: the latest estimates reported here use consumption data for about two-thirds of countries.

However, even similar surveys may not be strictly comparable because of differences in timing or in the quality and training of enumerators. Comparisons of countries at different levels of development also pose a potential problem because of differences in the relative importance of the consumption of nonmarket goods. The local market value of all consumption in kind (including own production, particularly important in underdeveloped rural economies) should be included in total consumption expenditure but may not be. Most survey data now include valuations for consumption or income from own production, but valuation methods vary.","The World Bank’s internationally comparable poverty monitoring database now draws on income or detailed consumption data from more than one thousand household surveys across 138 countries in six regions and 21 other high income countries (industrialized economies). While income distribution data are published for all countries with data available, poverty data are published for low- and middle-income countries and countries eligible to receive loans from the World Bank (such as Chile) and recently graduated countries (such as Estonia) only. See PovcalNet (http://iresearch.worldbank.org/PovcalNet/WhatIsNew.aspx) for definitions of geographical regions and industrialized countries.",
TX.VAL.MRCH.HI.ZS,Open,Merchandise exports to high-income economies (% of total merchandise exports),Merchandise exports to high-income economies are the sum of merchandise exports from the reporting economy to high-income economies according to the World Bank classification of economies. Data are expressed as a percentage of total merchandise exports by the economy.,Merchandise exports to high-income economies are the sum of merchandise exports from the reporting economy to high-income economies according to the World Bank classification of economies. Data are expressed as a percentage of total merchandise exports by the economy. Data are computed only if at least half of the economies in the partner country group had non-missing data.,World Bank staff estimates based data from International Monetary Fund's Direction of Trade database.,Private Sector & Trade: Exports,,Annual,,,Weighted average,,"Low- and middle-income economies are an increasingly important part of the global trading system. Trade between high-income economies and low- and middle-income economies has grown faster than trade between high-income economies. This increased trade benefits both producers and consumers in developing and high-income economies.

At the regional level most exports from low- and middle-income economies are to high-income economies, but the share of intraregional trade is increasing. Geographic patterns of trade vary widely by country and commodity. Larger shares of exports from oil- and resource-rich economies are to high-income economies.","Data on exports and imports are from the International Monetary Fund's (IMF) Direction of Trade database and should be broadly consistent with data from other sources, such as the United Nations Statistics Division's Commodity Trade (Comtrade) database. All high-income economies and major low- and middle-income economies report trade data to the IMF on a timely basis, covering about 85 percent of trade for recent years. Trade data for less timely reporters and for countries that do not report are estimated using reports of trading partner countries. Therefore, data on trade between developing and high-income economies should be generally complete. But trade flows between many low- and middle-income economies - particularly those in Sub-Saharan Africa - are not well recorded, and the value of trade among low- and middle-income economies may be understated.",,
TX.VAL.MRCH.R1.ZS,Open,Merchandise exports to low- and middle-income economies in East Asia & Pacific (% of total merchandise exports),Merchandise exports to low- and middle-income economies in East Asia and Pacific are the sum of merchandise exports from the reporting economy to low- and middle-income economies in the East Asia and Pacific region according to World Bank classification of economies. Data are as a percentage of total merchandise exports by the economy.,Merchandise exports to low- and middle-income economies in East Asia and Pacific are the sum of merchandise exports from the reporting economy to low- and middle-income economies in the East Asia and Pacific region according to World Bank classification of economies. Data are as a percentage of total merchandise exports by the economy. Data are computed only if at least half of the economies in the partner country group had non-missing data.,World Bank staff estimates based data from International Monetary Fund's Direction of Trade database.,Private Sector & Trade: Exports,,Annual,,,Weighted average,,,,,
TX.VAL.MRCH.R2.ZS,Open,Merchandise exports to low- and middle-income economies in Europe & Central Asia (% of total merchandise exports),Merchandise exports to low- and middle-income economies in Europe and Central Asia are the sum of merchandise exports from the reporting economy to low- and middle-income economies in the Europe and Central Asia region according to World Bank classification of economies. Data are as a percentage of total merchandise exports by the economy.,Merchandise exports to low- and middle-income economies in Europe and Central Asia are the sum of merchandise exports from the reporting economy to low- and middle-income economies in the Europe and Central Asia region according to World Bank classification of economies. Data are as a percentage of total merchandise exports by the economy. Data are computed only if at least half of the economies in the partner country group had non-missing data.,World Bank staff estimates based data from International Monetary Fund's Direction of Trade database.,Private Sector & Trade: Exports,,Annual,,,Weighted average,,,,,
TX.VAL.MRCH.R3.ZS,Open,Merchandise exports to low- and middle-income economies in Latin America & the Caribbean (% of total merchandise exports),Merchandise exports to low- and middle-income economies in Latin America and the Caribbean are the sum of merchandise exports from the reporting economy to low- and middle-income economies in the Latin America and the Caribbean region according to World Bank classification of economies. Data are as a percentage of total merchandise exports by the economy.,Merchandise exports to low- and middle-income economies in Latin America and the Caribbean are the sum of merchandise exports from the reporting economy to low- and middle-income economies in the Latin America and the Caribbean region according to World Bank classification of economies. Data are as a percentage of total merchandise exports by the economy. Data are computed only if at least half of the economies in the partner country group had non-missing data.,World Bank staff estimates based data from International Monetary Fund's Direction of Trade database.,Private Sector & Trade: Exports,,Annual,,,Weighted average,,,,,
TX.VAL.MRCH.R4.ZS,Open,Merchandise exports to low- and middle-income economies in Middle East & North Africa (% of total merchandise exports),Merchandise exports to low- and middle-income economies in Middle East and North Africa are the sum of merchandise exports from the reporting economy to low- and middle-income economies in the Middle East and North Africa region according to World Bank classification of economies. Data are as a percentage of total merchandise exports by the economy.,Merchandise exports to low- and middle-income economies in Middle East and North Africa are the sum of merchandise exports from the reporting economy to low- and middle-income economies in the Middle East and North Africa region according to World Bank classification of economies. Data are as a percentage of total merchandise exports by the economy. Data are computed only if at least half of the economies in the partner country group had non-missing data.,World Bank staff estimates based data from International Monetary Fund's Direction of Trade database.,Private Sector & Trade: Exports,,Annual,,,Weighted average,,,,,
TX.VAL.MRCH.R5.ZS,Open,Merchandise exports to low- and middle-income economies in South Asia (% of total merchandise exports),Merchandise exports to low- and middle-income economies in South Asia are the sum of merchandise exports from the reporting economy to low- and middle-income economies in the South Asia region according to World Bank classification of economies. Data are as a percentage of total merchandise exports by the economy.,Merchandise exports to low- and middle-income economies in South Asia are the sum of merchandise exports from the reporting economy to low- and middle-income economies in the South Asia region according to World Bank classification of economies. Data are as a percentage of total merchandise exports by the economy. Data are computed only if at least half of the economies in the partner country group had non-missing data.,World Bank staff estimates based data from International Monetary Fund's Direction of Trade database.,Private Sector & Trade: Exports,,Annual,,,Weighted average,,,,,
TX.VAL.MRCH.R6.ZS,Open,Merchandise exports to low- and middle-income economies in Sub-Saharan Africa (% of total merchandise exports),Merchandise exports to low- and middle-income economies in Sub-Saharan Africa are the sum of merchandise exports from the reporting economy to low- and middle-income economies in the Sub-Saharan Africa region according to World Bank classification of economies. Data are as a percentage of total merchandise exports by the economy.,Merchandise exports to low- and middle-income economies in Sub-Saharan Africa are the sum of merchandise exports from the reporting economy to low- and middle-income economies in the Sub-Saharan Africa region according to World Bank classification of economies. Data are as a percentage of total merchandise exports by the economy. Data are computed only if at least half of the economies in the partner country group had non-missing data.,World Bank staff estimates based data from International Monetary Fund's Direction of Trade database.,Private Sector & Trade: Exports,,Annual,,,Weighted average,,,,,
TX.VAL.MRCH.OR.ZS,Open,Merchandise exports to low- and middle-income economies outside region (% of total merchandise exports),Merchandise exports to low- and middle-income economies outside region are the sum of merchandise exports from the reporting economy to other low- and middle-income economies in other World Bank regions according to the World Bank classification of economies. Data are expressed as a percentage of total merchandise exports by the economy.,Merchandise exports to low- and middle-income economies outside region are the sum of merchandise exports from the reporting economy to other low- and middle-income economies in other World Bank regions according to the World Bank classification of economies. Data are expressed as a percentage of total merchandise exports by the economy. Data are computed only if at least half of the economies in the partner country group had non-missing data.,World Bank staff estimates based data from International Monetary Fund's Direction of Trade database.,Private Sector & Trade: Exports,,Annual,,,Weighted average,,"Although global integration has increased, low- and middle-income economies still face trade barriers when accessing other markets.","Data on exports and imports are from the International Monetary Fund's (IMF) Direction of Trade database and should be broadly consistent with data from other sources, such as the United Nations Statistics Division's Commodity Trade (Comtrade) database. All high-income economies and major low- and middle-income economies report trade data to the IMF on a timely basis, covering about 85 percent of trade for recent years. Trade data for less timely reporters and for countries that do not report are estimated using reports of trading partner countries. Therefore, data on trade between developing and high-income economies should be generally complete. But trade flows between many low- and middle-income economies - particularly those in Sub-Saharan Africa - are not well recorded, and the value of trade among low- and middle-income economies may be understated.",,
TX.VAL.MRCH.WR.ZS,Open,Merchandise exports to low- and middle-income economies within region (% of total merchandise exports),Merchandise exports to low- and middle-income economies within region are the sum of merchandise exports from the reporting economy to other low- and middle-income economies in the same World Bank region as a percentage of total merchandise exports by the economy.,"Merchandise exports to low- and middle-income economies within region are the sum of merchandise exports from the reporting economy to other low- and middle-income economies in the same World Bank region as a percentage of total merchandise exports by the economy. Data are computed only if at least half of the economies in the partner country group had non-missing data. No figures are shown for high-income economies, because they are a separate category in the World Bank classification of economies.",World Bank staff estimates based data from International Monetary Fund's Direction of Trade database.,Private Sector & Trade: Exports,,Annual,,,Weighted average,,"The relative importance of intraregional trade is higher for both landlocked countries and small countries with close trade links to the largest regional economy. For most low- and middle-income economies - especially smaller ones - there is a ""geographic bias"" favoring intraregional trade. Despite the broad trend toward globalization and the reduction of trade barriers, the relative share of intraregional trade increased for most economies between 1999 and 2010. This is due partly to trade-related advantages, such as proximity, lower transport costs, increased knowledge from repeated interaction, and cultural and historical affinity. The direction of trade is also influenced by preferential trade agreements that a country has made with other economies. Though formal agreements on trade liberalization do not automatically increase trade, they nevertheless affect the direction of trade between the participating economies.","Data on exports and imports are from the International Monetary Fund's (IMF) Direction of Trade database and should be broadly consistent with data from other sources, such as the United Nations Statistics Division's Commodity Trade (Comtrade) database. All high-income economies and major low- and middle-income economies report trade data to the IMF on a timely basis, covering about 85 percent of trade for recent years. Trade data for less timely reporters and for countries that do not report are estimated using reports of trading partner countries. Therefore, data on trade between developing and high-income economies should be generally complete. But trade flows between many low- and middle-income economies - particularly those in Sub-Saharan Africa - are not well recorded, and the value of trade among low- and middle-income economies may be understated.",,
TM.VAL.MRCH.HI.ZS,Open,Merchandise imports from high-income economies (% of total merchandise imports),Merchandise imports from high-income economies are the sum of merchandise imports by the reporting economy from high-income economies according to the World Bank classification of economies. Data are expressed as a percentage of total merchandise imports by the economy.,Merchandise imports from high-income economies are the sum of merchandise imports by the reporting economy from high-income economies according to the World Bank classification of economies. Data are expressed as a percentage of total merchandise imports by the economy. Data are computed only if at least half of the economies in the partner country group had non-missing data.,World Bank staff estimates based data from International Monetary Fund's Direction of Trade database.,Private Sector & Trade: Imports,,Annual,,,Weighted average,,Low- and middle-income economies are an increasingly important part of the global trading system. Trade between high-income economies and low- and middle-income economies has grown faster than trade between high-income economies. This increased trade benefits both producers and consumers in developing and high-income economies.,"Data on exports and imports are from the International Monetary Fund's (IMF) Direction of Trade database and should be broadly consistent with data from other sources, such as the United Nations Statistics Division's Commodity Trade (Comtrade) database. All high-income economies and major low- and middle-income economies report trade data to the IMF on a timely basis, covering about 85 percent of trade for recent years. Trade data for less timely reporters and for countries that do not report are estimated using reports of trading partner countries. Therefore, data on trade between developing and high-income economies should be generally complete. But trade flows between many low- and middle-income economies - particularly those in Sub-Saharan Africa - are not well recorded, and the value of trade among low- and middle-income economies may be understated.",,
TM.VAL.MRCH.R1.ZS,Open,Merchandise imports from low- and middle-income economies in East Asia & Pacific (% of total merchandise imports),Merchandise imports from low- and middle-income economies in East Asia and Pacific are the sum of merchandise imports by the reporting economy from low- and middle-income economies in the East Asia and Pacific region according to the World Bank classification of economies. Data are expressed as a percentage of total merchandise imports by the economy.,Merchandise imports from low- and middle-income economies in East Asia and Pacific are the sum of merchandise imports by the reporting economy from low- and middle-income economies in the East Asia and Pacific region according to the World Bank classification of economies. Data are expressed as a percentage of total merchandise imports by the economy. Data are computed only if at least half of the economies in the partner country group had non-missing data.,World Bank staff estimates based data from International Monetary Fund's Direction of Trade database.,Private Sector & Trade: Imports,,Annual,,,Weighted average,,,,,
TM.VAL.MRCH.R2.ZS,Open,Merchandise imports from low- and middle-income economies in Europe & Central Asia (% of total merchandise imports),Merchandise imports from low- and middle-income economies in Europe and Central Asia are the sum of merchandise imports by the reporting economy from low- and middle-income economies in the Europe and Central Asia region according to the World Bank classification of economies. Data are expressed as a percentage of total merchandise imports by the economy.,Merchandise imports from low- and middle-income economies in Europe and Central Asia are the sum of merchandise imports by the reporting economy from low- and middle-income economies in the Europe and Central Asia region according to the World Bank classification of economies. Data are expressed as a percentage of total merchandise imports by the economy. Data are computed only if at least half of the economies in the partner country group had non-missing data.,World Bank staff estimates based data from International Monetary Fund's Direction of Trade database.,Private Sector & Trade: Imports,,Annual,,,Weighted average,,,,,
TM.VAL.MRCH.R3.ZS,Open,Merchandise imports from low- and middle-income economies in Latin America & the Caribbean (% of total merchandise imports),Merchandise imports from low- and middle-income economies in Latin America and the Caribbean are the sum of merchandise imports by the reporting economy from low- and middle-income economies in the Latin America and the Caribbean region according to the World Bank classification of economies. Data are expressed as a percentage of total merchandise imports by the economy.,Merchandise imports from low- and middle-income economies in Latin America and the Caribbean are the sum of merchandise imports by the reporting economy from low- and middle-income economies in the Latin America and the Caribbean region according to the World Bank classification of economies. Data are expressed as a percentage of total merchandise imports by the economy. Data are computed only if at least half of the economies in the partner country group had non-missing data.,World Bank staff estimates based data from International Monetary Fund's Direction of Trade database.,Private Sector & Trade: Imports,,Annual,,,Weighted average,,,,,
TM.VAL.MRCH.R4.ZS,Open,Merchandise imports from low- and middle-income economies in Middle East & North Africa (% of total merchandise imports),Merchandise imports from low- and middle-income economies in Middle East and North Africa are the sum of merchandise imports by the reporting economy from low- and middle-income economies in the Middle East and North Africa region according to the World Bank classification of economies. Data are expressed as a percentage of total merchandise imports by the economy.,Merchandise imports from low- and middle-income economies in Middle East and North Africa are the sum of merchandise imports by the reporting economy from low- and middle-income economies in the Middle East and North Africa region according to the World Bank classification of economies. Data are expressed as a percentage of total merchandise imports by the economy. Data are computed only if at least half of the economies in the partner country group had non-missing data.,World Bank staff estimates based data from International Monetary Fund's Direction of Trade database.,Private Sector & Trade: Imports,,Annual,,,Weighted average,,,,,
TM.VAL.MRCH.R5.ZS,Open,Merchandise imports from low- and middle-income economies in South Asia (% of total merchandise imports),Merchandise imports from low- and middle-income economies in South Asia are the sum of merchandise imports by the reporting economy from low- and middle-income economies in the South Asia region according to the World Bank classification of economies. Data are expressed as a percentage of total merchandise imports by the economy.,Merchandise imports from low- and middle-income economies in South Asia are the sum of merchandise imports by the reporting economy from low- and middle-income economies in the South Asia region according to the World Bank classification of economies. Data are expressed as a percentage of total merchandise imports by the economy. Data are computed only if at least half of the economies in the partner country group had non-missing data.,World Bank staff estimates based data from International Monetary Fund's Direction of Trade database.,Private Sector & Trade: Imports,,Annual,,,Weighted average,,,,,
TM.VAL.MRCH.R6.ZS,Open,Merchandise imports from low- and middle-income economies in Sub-Saharan Africa (% of total merchandise imports),Merchandise imports from low- and middle-income economies in Sub-Saharan Africa are the sum of merchandise imports by the reporting economy from low- and middle-income economies in the Sub-Saharan Africa region according to the World Bank classification of economies. Data are expressed as a percentage of total merchandise imports by the economy.,Merchandise imports from low- and middle-income economies in Sub-Saharan Africa are the sum of merchandise imports by the reporting economy from low- and middle-income economies in the Sub-Saharan Africa region according to the World Bank classification of economies. Data are expressed as a percentage of total merchandise imports by the economy. Data are computed only if at least half of the economies in the partner country group had non-missing data.,World Bank staff estimates based data from International Monetary Fund's Direction of Trade database.,Private Sector & Trade: Imports,,Annual,,,Weighted average,,,,,
TM.VAL.MRCH.OR.ZS,Open,Merchandise imports from low- and middle-income economies outside region (% of total merchandise imports),Merchandise imports from low- and middle-income economies outside region are the sum of merchandise imports by the reporting economy from other low- and middle-income economies in other World Bank regions according to the World Bank classification of economies. Data are expressed as a percentage of total merchandise imports by the economy.,Merchandise imports from low- and middle-income economies outside region are the sum of merchandise imports by the reporting economy from other low- and middle-income economies in other World Bank regions according to the World Bank classification of economies. Data are expressed as a percentage of total merchandise imports by the economy. Data are computed only if at least half of the economies in the partner country group had non-missing data.,World Bank staff estimates based data from International Monetary Fund's Direction of Trade database.,Private Sector & Trade: Imports,,Annual,,,Weighted average,,"Although global integration has increased, low- and middle-income economies still face trade barriers when accessing other markets.","Data on exports and imports are from the International Monetary Fund's (IMF) Direction of Trade database and should be broadly consistent with data from other sources, such as the United Nations Statistics Division's Commodity Trade (Comtrade) database. All high-income economies and major low- and middle-income economies report trade data to the IMF on a timely basis, covering about 85 percent of trade for recent years. Trade data for less timely reporters and for countries that do not report are estimated using reports of trading partner countries. Therefore, data on trade between developing and high-income economies should be generally complete. But trade flows between many low- and middle-income economies - particularly those in Sub-Saharan Africa - are not well recorded, and the value of trade among low- and middle-income economies may be understated.",,
TM.VAL.MRCH.WR.ZS,Open,Merchandise imports from low- and middle-income economies within region (% of total merchandise imports),Merchandise imports from low- and middle-income economies within region are the sum of merchandise imports by the reporting economy from other low- and middle-income economies in the same World Bank region according to the World Bank classification of economies. Data are as a percentage of total merchandise imports by the economy.,"Merchandise imports from low- and middle-income economies within region are the sum of merchandise imports by the reporting economy from other low- and middle-income economies in the same World Bank region according to the World Bank classification of economies. Data are as a percentage of total merchandise imports by the economy. Data are computed only if at least half of the economies in the partner country group had non-missing data. No figures are shown for high-income economies, because they are a separate category in the World Bank classification of economies.",World Bank staff estimates based data from International Monetary Fund's Direction of Trade database.,Private Sector & Trade: Imports,,Annual,,,Weighted average,,"The relative importance of intraregional trade is higher for both landlocked countries and small countries with close trade links to the largest regional economy. For most low- and middle-income economies - especially smaller ones - there is a ""geographic bias"" favoring intraregional trade. Despite the broad trend toward globalization and the reduction of trade barriers, the relative share of intraregional trade increased for most economies between 1999 and 2010. This is due partly to trade-related advantages, such as proximity, lower transport costs, increased knowledge from repeated interaction, and cultural and historical affinity. The direction of trade is also influenced by preferential trade agreements that a country has made with other economies. Though formal agreements on trade liberalization do not automatically increase trade, they nevertheless affect the direction of trade between the participating economies.","Data on exports and imports are from the International Monetary Fund's (IMF) Direction of Trade database and should be broadly consistent with data from other sources, such as the United Nations Statistics Division's Commodity Trade (Comtrade) database. All high-income economies and major low- and middle-income economies report trade data to the IMF on a timely basis, covering about 85 percent of trade for recent years. Trade data for less timely reporters and for countries that do not report are estimated using reports of trading partner countries. Therefore, data on trade between developing and high-income economies should be generally complete. But trade flows between many low- and middle-income economies - particularly those in Sub-Saharan Africa - are not well recorded, and the value of trade among low- and middle-income economies may be understated.",,
WP15163_4.8,Open,"Mobile account, income, poorest 40% (% ages 15+)",,"Mobile account denotes the percentage of respondents who report personally using a mobile phone to pay bills or to send or receive money through a GSM Association (GSMA) Mobile Money for the Unbanked (MMU) service in the past 12 months; or receiving wages, government transfers, or payments for agricultural products through a mobile phone in the past 12 months.","Demirguc-Kunt et al., 2015, Global Financial Inclusion Database, World Bank.",Financial Sector: Access,,Annual,,2014,Weighted average,,,,,
WP15163_4.9,Open,"Mobile account, income, richest 60% (% ages 15+)",,"Mobile account denotes the percentage of respondents who report personally using a mobile phone to pay bills or to send or receive money through a GSM Association (GSMA) Mobile Money for the Unbanked (MMU) service in the past 12 months; or receiving wages, government transfers, or payments for agricultural products through a mobile phone in the past 12 months.","Demirguc-Kunt et al., 2015, Global Financial Inclusion Database, World Bank.",Financial Sector: Access,,Annual,,2014,Weighted average,,,,,
NY.GSR.NFCY.KN,Open,Net income from abroad (constant LCU),,"Net income includes the net labor income and net property and entrepreneurial income components of the SNA. Labor income covers compensation of employees paid to nonresident workers. Property and entrepreneurial income covers investment income from the ownership of foreign financial claims (interest, dividends, rent, etc.) and nonfinancial property income (patents, copyrights, etc.). Data are in constant local currency.","World Bank national accounts data, and OECD National Accounts data files.",Economic Policy & Debt: National accounts: Local currency at constant prices: Aggregate indicators,,Annual,varies by country,,,,,,,
