"FCL 
Item 
code ","FCL 
Title",Group Nr.,Group Name,Scientific Name,Common Name,P/D,,"FBS 
GROUP Number","FBS 
GROUP Names","Def Comp
Item
Code","Def Comp
Item
Code",PERISHABLE
0572,Avocados,8,FRUITS AND DERIVED PRODUCTS,Persea americana,,P,y,2625,"Fruits, Other",0572,Avocados,PERISHABLE
0574,Pineapples,8,FRUITS AND DERIVED PRODUCTS,"Ananas comosus 
Ananas sativus",,P,y,2618,Pineapples,0574,Pineapples,PERISHABLE
0577,Dates,8,FRUITS AND DERIVED PRODUCTS,Phoenix dactylifera,,P,y,2619,Dates,0577,Dates,SEMI PERISHABLE
0587,Persimmons,8,FRUITS AND DERIVED PRODUCTS,"Diospyros kaki 
Diospyros virginiana",,P,y,2625,"Fruits, Other",0587,Persimmons,PERISHABLE
0591,Cashewapple,8,FRUITS AND DERIVED PRODUCTS,Anacardium occidentale,,P,y,2625,"Fruits, Other",0591,Cashewapple,PERISHABLE
0592,Kiwi fruit,8,FRUITS AND DERIVED PRODUCTS,Actinidia chinensis,,P,y,2625,"Fruits, Other",0592,Kiwi Fruit,PERISHABLE
0600,Papayas,8,FRUITS AND DERIVED PRODUCTS,Carica papaya,,P,y,2625,"Fruits, Other",0600,Papayas,PERISHABLE
0603,"Fruit, tropical (fresh) nes",8,FRUITS AND DERIVED PRODUCTS,"Including among all: 
Artocarpus incisa 
Averrhoa carambola 
Annona spp. 
Durio zibethinus 
Feijoa sellowiana 
Psidium guajava 
Spondias spp. 
Artocarpus integrifolia 
Nephelium longan 
Mammea americana 
Garcinia mangostana 
Solanum quitoense 
Passiflora edulis 
Nephelium lappaceum 
Calocarpum mammosum 
Achras sapota 
Chrysophyllum spp","
breadfruit 
carambola 
cherimoya, custard apple 
durian 
feijoa 
guava 
hog plum, mombin 
jackfruit 
longan 
mammee 
mangosteen 
naranjillo 
passion fruit 
rambutan 
sapote, mamey colorado 
sapodilla 
star apple, cainito",P,y,2625,"Fruits, Other",0603,Fruit Tropical Fresh nes,PERISHABLE
0619,"Fruit, fresh nes",8,FRUITS AND DERIVED PRODUCTS,"Including among all: 
Crataegus azarolus 
Carica pentagona 
Sambucus nigra 
Zizyphus jujuba 
Nephelium litchi 
Eriobotrya japonica 
Mespilus germanica 
Asimina triloba 
Punica granatum 
Opuntia ficus-indica 
Rosa spp. 
Sorbus aucuparia 
Sorbus domestica 
Tamarindus indica 
Arbutus unedo","
azarole 
babaco 
elderberry 
jujube 
litchi 
loquat 
medlar 
pawpaw 
pomegranate 
prickly pear 
rose hips 
rowanberry 
service-apple 
tamarind 
tree-strawberry",P,y,2625,"Fruits, Other",0619,Fruit Fresh nes,PERISHABLE
0636,Maize for forage,11,FODDER CROPS AND PRODUCTS,,,P,,,,,,
0637,Sorghum for forage,11,FODDER CROPS AND PRODUCTS,,,P,,,,,,
0638,Rye grass for forage,11,FODDER CROPS AND PRODUCTS,"Lolium multiflorum
Lolium perenne","Italian ryegrass
English, perennial ryegrass",P,,,,,,
0639,Grasses nes for forage,11,FODDER CROPS AND PRODUCTS,"Including among all: 
Agrostis spp. 
Poa spp. 
Sorghum almum 
Festuca spp. 
Pennisetum purpureum 
Dactylis glomerata 
Chloris gayana 
Sorghum vulgare var. sudanense 
Phleum pratense","
bent, redtop, fiorin grass 
bluegrass 
Columbus grass 
fescue 
Napier, elephant grass 
orchard grass 
Rhodes grass 
Sudan grass 
Timothy grass",P,,,,,,
0640,Clover for forage,11,FODDER CROPS AND PRODUCTS,Trifolium spp.,,P,,,,,,
0641,Alfalfa for forage,11,FODDER CROPS AND PRODUCTS,Medicago sativa,,P,,,,,,
0642,Green oilseeds for silage,11,FODDER CROPS AND PRODUCTS,,,P,,,,,,
0643,Legumes for silage,11,FODDER CROPS AND PRODUCTS,"Including among all: 
Lotus corniculatus 
Lespedeza spp. 
Pueraria lobata 
Sesbania spp. 
Onobrychis sativa 
Hedysarum coronarium","
birdsfoot, trefoil 
lespedeza 
kudzu 
sesbania 
sainfoin, esparcette 
sulla",P,,,,,,
0644,Cabbage for fodder,11,FODDER CROPS AND PRODUCTS,"Brassica chinensis 
Brassica oleracea",,P,,,,,,
0645,Pumpkins for fodder,11,FODDER CROPS AND PRODUCTS,Cucurbita spp.,,P,,,,,,
0646,Turnips for fodder,11,FODDER CROPS AND PRODUCTS,Brassica rapa var. rapifera,,P,,,,,,
0647,Beets for fodder,11,FODDER CROPS AND PRODUCTS,Beta vulgaris,"beet, beetroot, mangold",P,,,,,,
0648,Carrots for fodder,11,FODDER CROPS AND PRODUCTS,Daucus carota,,P,,,,,,
0649,Swedes for fodder,11,FODDER CROPS AND PRODUCTS,Brassica napus var. napobrassica,"rutabaga, swede, swede turnip",P,,,,,,
0655,"Vegetables, roots fodder nes",11,FODDER CROPS AND PRODUCTS,,,P,,,,,,
0656,Coffee green,12,STIMULANT CROPS AND DERIVED PRODUCTS,"Coffea spp.: 
Coffea arabica 
Coffea robusta 
Coffea liberica",,P,y,2630,Coffee,0656,"Coffee, Green",NON PERISHABLE
0661,Cocoa beans,12,STIMULANT CROPS AND DERIVED PRODUCTS,Theobroma cacao,,P,y,2633,Cocoa Beans,0661,Cocoa Beans,SEMI PERISHABLE
0667,Tea,12,STIMULANT CROPS AND DERIVED PRODUCTS,"Camellia sinensis 
Thea sinensis 
Thea assaamica",,P,y,2635,Tea,0667,Tea,NON PERISHABLE
0671,Mate,12,STIMULANT CROPS AND DERIVED PRODUCTS,Ilex paraguayensis,,P,y,2635,Tea,0671,Mate,NON PERISHABLE
0674,Tea nes,12,STIMULANT CROPS AND DERIVED PRODUCTS,,,P,,,,,,
0677,Hops,13,TOBACCO AND RUBBER AND OTHER CROPS,Humulus lupulus,,P,,,,,,
0687,Pepper,10,SPICES,"Piper nigrum 
Piper longum","black, white pepper 
long pepper",P,y,2640,Pepper,0687,"Pepper,White/Long/Black",NON PERISHABLE
0689,Pimento,10,SPICES,"Capsicum frutescens; Capsicum annuum 
Pimenta officinalis","red and cayenne pepper, paprika, chillies 
allspice, Jamaica pepper",P,y,2641,Pimento,0689,"Pimento, Allspice",NON PERISHABLE
0692,Vanilla,10,SPICES,"Vanilla planifolia 
Vanilla pompona",,P,y,2645,"Spices, Other",0692,Vanilla,NON PERISHABLE
0693,Cinnamon (canella),10,SPICES,"Cinnamomum zeylanicum 
Cinnamomum cassia","Ceylon cinnamon 
Chinese, common cinnamon, cassia",P,y,2645,"Spices, Other",0693,Cinnamon (Canella),NON PERISHABLE
0698,Cloves,10,SPICES,"Eugenia caryophyllata 
Caryophyllus aromaticus",,P,y,2642,Cloves,0698,"Cloves, Whole+Stems",NON PERISHABLE
0702,"Nutmeg, mace, cardamoms",10,SPICES,"Myristica fragrans 
Elettaria cardamomum 
Aframomum angustifolium; Aframomum hambury; Amomun aromaticum; Amomun cardamomum 
Aframomum melegueta","Nutmeg, mace 
cluster cardamon 
other cardamons 

Malaguetta pepper, grains of paradise",P,y,2645,"Spices, Other",0702,"Nutmeg, Mace, Cardamons",NON PERISHABLE
0711,"Anise, badian, fennel",10,SPICES,"Including among all: 
Pimpinella anisum 
Illicium verum 
Carum carvi 
Coriandrum sativum 
Cuminum cyminum 
Foeniculum vulgare 
Juniperus communis","
anise 
badian or star anise 
caraway 
coriander 
cumin 
fennel 
juniper berries",P,y,2645,"Spices, Other",0711,"Anise, Badian, Fennel",NON PERISHABLE
0720,Ginger,10,SPICES,Zingiber officinale,,P,y,2645,"Spices, Other",0720,Ginger,SEMI PERISHABLE
0723,Spices nes,10,SPICES,"Including among all: 
Laurus nobilis 
Anethum graveolens 
Trigonella foenum-graecum 
Crocus sativus 
Thymus vulgaris 
Curcuma longa","
bay leaves 
dill seed 
fenugreek seed 
saffron 
thyme 
turmeric",P,y,2645,"Spices, Other",0723,Spices nes,NON PERISHABLE
0737,Oil of citronella,13,TOBACCO AND RUBBER AND OTHER CROPS,,,P,,,,,,
0748,"Peppermint, Spearmint",13,TOBACCO AND RUBBER AND OTHER CROPS,"Mentha spp.: 
Mentha piperita",,P,,,,,,
0753,Essential oils nes,13,TOBACCO AND RUBBER AND OTHER CROPS,,,P,,,,,,
0754,"Pyrethrum, dried flowers",13,TOBACCO AND RUBBER AND OTHER CROPS,Chrysanthemum cinerariifolium,,P,,,,,,
0767,Cotton Lint,9,FIBRES OF VEGETAL AND ANIMAL ORIGIN,,Gossypium spp.,P,,,,,,
0771,"Flax, raw or retted",9,FIBRES OF VEGETAL AND ANIMAL ORIGIN,Linum usitatissimum,Flax Straw,P,,,,,,
0773,Flax fibre and tow,9,FIBRES OF VEGETAL AND ANIMAL ORIGIN,,,P,,,,,,
0777,Hemp fibre and tow,9,FIBRES OF VEGETAL AND ANIMAL ORIGIN,Cannabis sativa,,P,,,,,,
0778,Kapok fibre,9,FIBRES OF VEGETAL AND ANIMAL ORIGIN,Ceiba pentandra,,P,,,,,,
0780,Jute,9,FIBRES OF VEGETAL AND ANIMAL ORIGIN,"Corchorus capsularis
Corchorus olitorius","white jute
red jute, tossa",P,,,,,,
0782,Jute-like fibres,9,FIBRES OF VEGETAL AND ANIMAL ORIGIN,"Including among all: 
Abutilon avicennae 
Urena lobata; Urena sinuata 
Abroma augusta 
Hibiscus cannabinus 
Hibiscus sabdariffa 
Crotalaria juncea","
China jute 
Congo jute, malva, paka 
Indian flax 
kenaf, meshta 
rosella hemp 
sunn hemp",P,,,,,,
0788,Ramie,9,FIBRES OF VEGETAL AND ANIMAL ORIGIN,"Boehmeria nivea
Boehmeria tenacissima","China grass, white ramie
rhea, green ramie",P,,,,,,
0789,Sisal,9,FIBRES OF VEGETAL AND ANIMAL ORIGIN,Agave sisalana,,P,,,,,,
0800,Agave fibres nes,9,FIBRES OF VEGETAL AND ANIMAL ORIGIN,"Including among all: 
Agave foetida 
Agave fourcroydes 
Agave lecheguilla 
Agave cantala 
Agave americana 
Agave letonae","
Haiti hemp 
henequen 
ixtle, tampico 
maguey 
pita 
Salvador hemp",P,,,,,,
0809,Abaca manila hemp,9,FIBRES OF VEGETAL AND ANIMAL ORIGIN,Musa textilis,,P,,,,,,
0813,Coir,9,FIBRES OF VEGETAL AND ANIMAL ORIGIN,Cocos nucifera,,P,,,,,,
0821,Fibre crops nes,9,FIBRES OF VEGETAL AND ANIMAL ORIGIN,"Including among all: 
Lygeum spartum; Stipa tenacissima 
Sansevieria spp. 
Neoglaziovia variegata 
Furcraea macrophylla 
Furcraea gigantea 
Phormium tenax 
Samuela carnerosana","
alfa, esparto 
bowstring hemp 
caroa 
fuque fibre 
Mauritius hemp 
New Zealand flax 
palma ixtle",P,,,,,,
0826,Tobacco leaves,13,TOBACCO AND RUBBER AND OTHER CROPS,Nicotiana tabacum,,P,,,,,,
0836,Natural rubber,13,TOBACCO AND RUBBER AND OTHER CROPS,Hevea brasiliensis,Latex,P,,,,,,
0839,Natural gums,13,TOBACCO AND RUBBER AND OTHER CROPS,"Including among all: 
Manilkara bidentata 
Manihot glaziovii 
Achras zapota 
Parthenium argentatum 
Palachium gutta 
Dieva costulana","
balata 
ceara 
chicle gum 
guayule 
gutta-percha 
jelutong",P,,,,,,
0866,Cattle,16,LIVESTOCK,"Bos taurus
Bos indicus
subgenus Bibos
Poephagus grunniens","common ox
zebu, humped ox
Asiatic ox
Tibetan yak",P,,,,,,
0867,Meat of cattle,17,PRODUCTS FROM SLAUGHTERED ANIMALS,,,P,y,2731,Bovine Meat,0867,Beef and Veal,PERISHABLE
0868,"Offals of cattle, edible",17,PRODUCTS FROM SLAUGHTERED ANIMALS,,,P,y,2736,"Offals, Edible",0868,"Offals of Cattle, Edible",PERISHABLE
0869,Fat of cattle,14,VEGETABLE AND ANIMAL OILS AND FATS,,,P,y,2737,"Fats, Animals, Raw",0869,Fat of Cattle,PERISHABLE
0870,"Meat of cattle, boneless",17,PRODUCTS FROM SLAUGHTERED ANIMALS,,,P,y,2731,Bovine Meat,0870,"Beef and Veal,Boneless",PERISHABLE
0882,"Cow milk, whole (fresh)",18,PRODUCTS FROM LIVE ANIMALS,,,P,y,2848,Milk - Excluding Butter,0882,"Cow Milk, Whole, Fresh",PERISHABLE
0919,"Cattle hides, fresh",19,HIDES AND SKINS,,,P,y,2748,Hides & Skins,0919,"Cattle Hides, Fresh",PERISHABLE
0927,"Skins, fresh (calves)",19,HIDES AND SKINS,,,P,,,,,,
0946,Buffaloes,16,LIVESTOCK,"Bubalus bubalus; Bubalus arnee; Bubalus depressicornis 
genus Syncerus 
Bison bison 
Bison bonasus","Indian, Asiatic, pigmy, water buffalo 

African buffalo 
American bison 
European bison 
beeffalo (cross between a bison and a domesticated beef animal)",P,,,,,,
0947,Buffalo meat,17,PRODUCTS FROM SLAUGHTERED ANIMALS,,,P,y,2731,Bovine Meat,0947,Buffalo Meat,PERISHABLE
0948,"Offals of buffalo, edible",17,PRODUCTS FROM SLAUGHTERED ANIMALS,,,P,y,2736,"Offals, Edible",0948,"Offals of Buffalo,Edible",PERISHABLE
0949,Fat of buffalo,14,VEGETABLE AND ANIMAL OILS AND FATS,,,P,y,2737,"Fats, Animals, Raw",0949,Fat of Buffalo,PERISHABLE
0951,Buffalo milk,18,PRODUCTS FROM LIVE ANIMALS,,,P,y,2848,Milk - Excluding Butter,0951,Buffalo Milk,PERISHABLE
0957,"Buffalo hides, fresh",19,HIDES AND SKINS,,,P,y,2748,Hides & Skins,0957,"Buffalo Hides, Fresh",PERISHABLE
0976,Sheep,16,LIVESTOCK,Ovis spp.,,P,,,,,,
0977,Meat of sheep,17,PRODUCTS FROM SLAUGHTERED ANIMALS,,,P,y,2732,Mutton & Goat Meat,0977,Mutton and Lamb,PERISHABLE
0978,"Offals of sheep, edible",17,PRODUCTS FROM SLAUGHTERED ANIMALS,,,P,y,2736,"Offals, Edible",0978,"Offals of Sheep, Edible",PERISHABLE
0979,Fat of sheep,14,VEGETABLE AND ANIMAL OILS AND FATS,,,P,y,2737,"Fats, Animals, Raw",0979,Fat of Sheep,PERISHABLE
0982,Sheep milk,18,PRODUCTS FROM LIVE ANIMALS,,,P,y,2848,Milk - Excluding Butter,0982,Sheep Milk,PERISHABLE
0987,"Wool, Greasy",9,FIBRES OF VEGETAL AND ANIMAL ORIGIN,,,P,,,,,,
0995,"Sheepskins, fresh",19,HIDES AND SKINS,,,P,y,2748,Hides & Skins,0995,"Sheepskins, Fresh",PERISHABLE
1002,Karakul skins,19,HIDES AND SKINS,,,P,y,2748,Hides & Skins,1002,Karakul Skins,PERISHABLE
1016,Goats,16,LIVESTOCK,Capra spp.,,P,,,,,,
1017,Goat meat,17,PRODUCTS FROM SLAUGHTERED ANIMALS,,,P,y,2732,Mutton & Goat Meat,1017,Goat Meat,PERISHABLE
1018,"Offals of goats, edible",17,PRODUCTS FROM SLAUGHTERED ANIMALS,,,P,y,2736,"Offals, Edible",1018,"Offals of Goats, Edible",PERISHABLE
1019,Fat of goats,14,VEGETABLE AND ANIMAL OILS AND FATS,,,P,y,2737,"Fats, Animals, Raw",1019,Fat of Goats,PERISHABLE
1020,Goat milk,18,PRODUCTS FROM LIVE ANIMALS,,,P,y,2848,Milk - Excluding Butter,1020,Goat Milk,PERISHABLE
1025,"Goatskins, fresh",19,HIDES AND SKINS,,,P,y,2748,Hides & Skins,1025,"Goatskins, Fresh",PERISHABLE
1030,Fine goat hair,9,FIBRES OF VEGETAL AND ANIMAL ORIGIN,,,P,,,,,,
1031,Coarse goat hair,9,FIBRES OF VEGETAL AND ANIMAL ORIGIN,,,P,,,,,,
1034,Pigs,16,LIVESTOCK,"Sus domestica 
Sus scrofa","domestic pig 
wild boar",P,,,,,,
1035,Pig meat,17,PRODUCTS FROM SLAUGHTERED ANIMALS,,,P,y,2733,Pigmeat,1035,Pigmeat,PERISHABLE
1036,"Offals of pigs, edible",17,PRODUCTS FROM SLAUGHTERED ANIMALS,,,P,y,2736,"Offals, Edible",1036,"Offals of Pigs, Edible",PERISHABLE
1037,Fat of pigs,14,VEGETABLE AND ANIMAL OILS AND FATS,,,P,y,2737,"Fats, Animals, Raw",1037,Fat of Pigs,PERISHABLE
1038,Pork,17,PRODUCTS FROM SLAUGHTERED ANIMALS,,,P,y,2733,Pigmeat,1038,Pork,PERISHABLE
1044,"Pigskins, fresh",19,HIDES AND SKINS,,,P,y,2748,Hides & Skins,1044,"Pigskins, Fresh",PERISHABLE
1057,Chickens,16,LIVESTOCK,"Gallus domesticus 
Numida meleagris","fowl 
Guinea fowl",P,,,,,,
1058,Chicken meat,17,PRODUCTS FROM SLAUGHTERED ANIMALS,,,P,y,2734,Poultry Meat,1058,Chicken Meat,PERISHABLE
1059,Offals and liver of chickens,17,PRODUCTS FROM SLAUGHTERED ANIMALS,,,P,y,2736,"Offals, Edible",1059,Offals Liver of Chickens,PERISHABLE
1062,Hen eggs,18,PRODUCTS FROM LIVE ANIMALS,,,P,y,2744,Eggs,1062,Hen Eggs,PERISHABLE
1065,Fat of poultry,14,VEGETABLE AND ANIMAL OILS AND FATS,,,P,y,2737,"Fats, Animals, Raw",1065,Fat of Poultry,PERISHABLE
1067,"Hen eggs, (number)",18,PRODUCTS FROM LIVE ANIMALS,,,P,,,,,,
1068,Ducks,16,LIVESTOCK,Anas spp.,,P,,,,,,
1069,Duck meat,17,PRODUCTS FROM SLAUGHTERED ANIMALS,,,P,y,2734,Poultry Meat,1069,Duck Meat,PERISHABLE
1072,Geese,16,LIVESTOCK,Anser spp.,,P,,,,,,
1073,Goose meat,17,PRODUCTS FROM SLAUGHTERED ANIMALS,,,P,y,2734,Poultry Meat,1073,Goose Meat,PERISHABLE
1074,Offals and liver of geese,17,PRODUCTS FROM SLAUGHTERED ANIMALS,,,P,y,2736,"Offals, Edible",1074,Offals Liver Geese,PERISHABLE
1075,Offals and liver of ducks,17,PRODUCTS FROM SLAUGHTERED ANIMALS,,,P,y,2736,"Offals, Edible",1075,Offals Liver Ducks,PERISHABLE
1079,Turkeys,16,LIVESTOCK,Meleagris gallopavo,,P,,,,,,
1080,Turkey meat,17,PRODUCTS FROM SLAUGHTERED ANIMALS,,,P,y,2734,Poultry Meat,1080,Turkey Meat,PERISHABLE
1081,Offals and liver of turkey,17,PRODUCTS FROM SLAUGHTERED ANIMALS,,,P,y,2736,"Offals, Edible",1081,Offals Liver Turkeys,PERISHABLE
1083,Pigeons and other birds,16,LIVESTOCK,"Including among all: 
Alectoris rufa 
Columba livia 
Coturnis spp. 
","
partridge 
pigeon 
quail 
turtle dove 
pheasant",P,,,,,,
1089,Meat of pigeons and other birds nes,17,PRODUCTS FROM SLAUGHTERED ANIMALS,,,P,y,2735,"Meat, Other",1089,Meat of Pigeon Oth.Birds,PERISHABLE
1091,"Eggs, excluding hen eggs",18,PRODUCTS FROM LIVE ANIMALS,,,P,y,2744,Eggs,1091,"Eggs, excluding Hen",PERISHABLE
1092,"Eggs, excluding hen eggs (number)",18,PRODUCTS FROM LIVE ANIMALS,,,P,,,,,,
1096,Horses,16,LIVESTOCK,Equus caballus,,P,,,,,,
1097,Horse meat,17,PRODUCTS FROM SLAUGHTERED ANIMALS,,,P,y,2735,"Meat, Other",1097,Horsemeat,PERISHABLE
1098,Offals of horses,17,PRODUCTS FROM SLAUGHTERED ANIMALS,,,P,y,2736,"Offals, Edible",1098,Offals of Horse,PERISHABLE
1100,Hair of horses,9,FIBRES OF VEGETAL AND ANIMAL ORIGIN,,,P,,,,,,
1102,"Horse hides, fresh",19,HIDES AND SKINS,,,P,y,2748,Hides & Skins,1102,"Horse Hides, Fresh",PERISHABLE
1107,Asses,16,LIVESTOCK,Equus asinus,,P,,,,,,
1108,Meat of asses,17,PRODUCTS FROM SLAUGHTERED ANIMALS,,,P,y,2735,"Meat, Other",1108,Meat of Asses,PERISHABLE
1109,"Hides of asses, fresh",19,HIDES AND SKINS,,,P,y,2748,Hides & Skins,1109,Hides of Asses Fresh,PERISHABLE
1110,Mules,16,LIVESTOCK,,,P,,,,,,
1111,Meat of mules,17,PRODUCTS FROM SLAUGHTERED ANIMALS,,,P,y,2735,"Meat, Other",1111,Meat of Mules,PERISHABLE
1112,"Hides of mules, fresh",19,HIDES AND SKINS,,,P,y,2748,Hides & Skins,1112,Hides of Mules Fresh,PERISHABLE
1126,Camels,16,LIVESTOCK,"Camelus bactrianus
Camelus dromedarius","Bactrian camel
Arabian camel",P,,,,,,
1127,Meat of camels,17,PRODUCTS FROM SLAUGHTERED ANIMALS,,,P,y,2735,"Meat, Other",1127,Meat of Camels,PERISHABLE
1128,"Offals of camels, edibles",17,PRODUCTS FROM SLAUGHTERED ANIMALS,,,P,y,2736,"Offals, Edible",1128,"Offals of Camel, Edible",PERISHABLE
1129,Fat of camels,14,VEGETABLE AND ANIMAL OILS AND FATS,,,P,y,2737,"Fats, Animals, Raw",1129,Fat of Camels,PERISHABLE
1130,Camel milk,18,PRODUCTS FROM LIVE ANIMALS,,,P,y,2848,Milk - Excluding Butter,1130,Camel Milk,PERISHABLE
1133,"Camel hides, fresh",19,HIDES AND SKINS,,,P,y,2748,Hides & Skins,1133,"Camel Hides, Fresh",PERISHABLE
1140,Rabbits,16,LIVESTOCK,Oryctolagus cuniculus,,P,,,,,,
1141,Rabbit meat,17,PRODUCTS FROM SLAUGHTERED ANIMALS,,,P,y,2735,"Meat, Other",1141,Rabbit Meat,PERISHABLE
1146,Rabbit skins,19,HIDES AND SKINS,,,P,y,2748,Hides & Skins,1146,Rabbit Skins,PERISHABLE
1150,Other rodents,16,LIVESTOCK,,,P,,,,,,
1151,Meat of other domestic rodents,17,PRODUCTS FROM SLAUGHTERED ANIMALS,,,P,y,2735,"Meat, Other",1151,Meat of Other Rodents,PERISHABLE
1157,Other camelids,16,LIVESTOCK,"Including among all: 
glama pacos 
peruana 
huanacos 
vicugna","
alpaca 
llama 
guanaco 
vicuC1a",P,,,,,,PERISHABLE
1158,Meat of other domestic camelids,17,PRODUCTS FROM SLAUGHTERED ANIMALS,,,P,y,2735,"Meat, Other",1158,Meat of Other Camelids,PERISHABLE
1160,Fat of other camelids,14,VEGETABLE AND ANIMAL OILS AND FATS,,,P,y,2737,"Fats, Animals, Raw",1160,Fat of Other Camelids,PERISHABLE
1163,Game meat,17,PRODUCTS FROM SLAUGHTERED ANIMALS,,,P,y,2735,"Meat, Other",1163,Game Meat,PERISHABLE
1166,Meat nes,17,PRODUCTS FROM SLAUGHTERED ANIMALS,,,P,y,2735,"Meat, Other",1166,Meat nes,PERISHABLE
1167,Offals nes,17,PRODUCTS FROM SLAUGHTERED ANIMALS,,,P,y,2736,"Offals, Edible",1167,Offals nes,PERISHABLE
1169,"Live animals, non food nes",16,LIVESTOCK,,,P,,,,,,
1171,Live animals nes,16,LIVESTOCK,,,P,,,,,,
1176,Snails o/t sea snails,17,PRODUCTS FROM SLAUGHTERED ANIMALS,,,P,y,2735,"Meat, Other",1176,Snails Not Sea Snails,PERISHABLE
1181,Beehives,16,LIVESTOCK,"Apis mellifica 
Apis dorsata 
Apis florea 
Apis indica",,P,,,,,,
1182,Honey,3,SUGAR CROPS AND SWEETENERS AND DERIVED PRODUCTS,,,P,y,2745,Honey,1182,Honey,PERISHABLE
1183,Beeswax,18,PRODUCTS FROM LIVE ANIMALS,,,P,,,,,,
1185,"Cocoons, reelable",9,FIBRES OF VEGETAL AND ANIMAL ORIGIN,,,P,,,,,,
1195,Fur skin,19,HIDES AND SKINS,,,P,,,,,,
1213,"Hides and skins nes, fresh",19,HIDES AND SKINS,,,P,,,,,,
1218,"Hair, fine",9,FIBRES OF VEGETAL AND ANIMAL ORIGIN,,,P,,,,,,
1219,"Hair, coarse nes",9,FIBRES OF VEGETAL AND ANIMAL ORIGIN,,,P,,,,,,
1291,Arabic gum,13,TOBACCO AND RUBBER AND OTHER CROPS,,,P,,,,,,
1292,Other resins,13,TOBACCO AND RUBBER AND OTHER CROPS,"Including among all: 
Copaifera spp. 
Astragalus spp. 
Boswellia spp. 
Commiphora spp. 
Myroxilon balsamum; Myroxilon Pereira","
copaiba, copal 
gum tragacanth 
incense 
myrrh, opopanax, Mecca balsam 
tolu balsam, peru balsam",P,,,,,,
1294,Seeds for Planting,13,TOBACCO AND RUBBER AND OTHER CROPS,,,P/D,,,,,,
1296,Vegetable waxes,13,TOBACCO AND RUBBER AND OTHER CROPS,"Including among all: 
Euphorbia antisyphilitica; Pedilanthus pavonis 
Copernicia cerifera 
Attalea excelsa 
Ceroxylon andicolum","
candelilla 
carnauba 
urucury 
palm wax",P,,,,,,
1501,Frwtr Diad F,N.A.,N.A.,N.A.,N.A.,P,,2761,Freshwater Fish,NA,NA,
1514,Dmrsl Fresh,N.A.,N.A.,N.A.,N.A.,P,,2762,Demersal Fish,NA,NA,
1527,Pelagic Frsh,N.A.,N.A.,N.A.,N.A.,P,,2763,Pelagic Fish,NA,NA,
1540,Marine nes F,N.A.,N.A.,N.A.,N.A.,P,,2764,"Marine Fish, Other",NA,NA,
1553,Crstaceans F,N.A.,N.A.,N.A.,N.A.,P,,2765,Crustaceans,NA,NA,
1570,Cephlp Fresh,N.A.,N.A.,N.A.,N.A.,P,,2766,Cephalopods,NA,NA,
1562,Mlluscs Frsh,N.A.,N.A.,N.A.,N.A.,P,,2767,"Molluscs, Other",NA,NA,
1587,Aqutc Anim F ,N.A.,N.A.,N.A.,N.A.,P,,2769,"Aquatic Animals, Others",NA,NA,
